date,code,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7
2023-01-03,25,0.021593764424324036,0.18935005366802216,0.005869586952030659,0.09477260708808899,-9.261945399163935e-28,0.0349617674946785,0.40118277072906494,0.5699447393417358
2023-01-04,12,0.10258381068706512,0.25333061814308167,0.08868672698736191,0.26203081011772156,1.6462558765201358e-24,0.050348784774541855,0.12007617950439453,0.25655311346054077
2023-01-05,9,0.03446820005774498,0.03250381723046303,0.0056444257497787476,0.34708645939826965,-1.0796163822539654e-28,0.3395223319530487,0.4396228790283203,0.40790489315986633
2023-01-06,7,0.19011418521404266,0.08775003254413605,0.16086558997631073,0.3875947892665863,-1.2054827893192224e-27,0.43534383177757263,0.16025221347808838,0.07624288648366928
2023-01-09,16,0.11110907047986984,0.43291136622428894,0.08722265809774399,0.04676879942417145,5.278744662602799e-22,0.03899494558572769,0.10976924747228622,0.29670411348342896
2023-01-10,7,0.19011418521404266,0.08775003254413605,0.16086558997631073,0.3875947892665863,-1.2054827893192224e-27,0.43534383177757263,0.16025221347808838,0.07624288648366928
2023-01-11,9,0.03446820005774498,0.03250381723046303,0.0056444257497787476,0.34708645939826965,-1.0796163822539654e-28,0.3395223319530487,0.4396228790283203,0.40790489315986633
2023-01-12,18,0.2470991164445877,0.2851050794124603,0.2195073366165161,0.2152285873889923,1.0212985314068461e-29,0.22692079842090607,0.02694600448012352,0.06584757566452026
2023-01-13,7,0.19011418521404266,0.08775003254413605,0.16086558997631073,0.3875947892665863,-1.2054827893192224e-27,0.43534383177757263,0.16025221347808838,0.07624288648366928
2023-01-17,25,0.021593764424324036,0.18935005366802216,0.005869586952030659,0.0947725921869278,-9.261945399163935e-28,0.0349617674946785,0.40118277072906494,0.5699447393417358
2023-01-18,25,0.021593764424324036,0.18935005366802216,0.005869586952030659,0.0947725921869278,-9.261945399163935e-28,0.0349617674946785,0.40118277072906494,0.5699447393417358
2023-01-19,9,0.03446820005774498,0.03250381723046303,0.0056444257497787476,0.34708645939826965,-1.0796163822539654e-28,0.3395223319530487,0.4396228790283203,0.40790489315986633
2023-01-20,7,0.19011418521404266,0.08775003254413605,0.16086558997631073,0.3875947892665863,-1.2054827893192224e-27,0.43534383177757263,0.16025221347808838,0.07624288648366928
2023-01-23,18,0.2470991164445877,0.2851050794124603,0.2195073366165161,0.2152285873889923,1.0212985314068461e-29,0.22692079842090607,0.02694600634276867,0.06584757566452026
2023-01-24,18,0.2470991164445877,0.2851050794124603,0.2195073366165161,0.2152285873889923,1.0212985314068461e-29,0.22692079842090607,0.02694600634276867,0.06584757566452026
2023-01-25,7,0.19011418521404266,0.08775003254413605,0.16086558997631073,0.3875947892665863,-1.2054827893192224e-27,0.43534383177757263,0.16025221347808838,0.07624288648366928
2023-01-26,9,0.03446820005774498,0.03250381723046303,0.0056444257497787476,0.34708645939826965,-1.0796163822539654e-28,0.3395223319530487,0.4396228790283203,0.40790489315986633
2023-01-27,7,0.19011418521404266,0.08775003254413605,0.16086558997631073,0.3875947892665863,-1.2054827893192224e-27,0.43534383177757263,0.16025221347808838,0.07624288648366928
2023-01-30,25,0.021593764424324036,0.18935005366802216,0.005869586952030659,0.0947725921869278,-9.261945399163935e-28,0.0349617674946785,0.40118277072906494,0.5699447393417358
2023-01-31,7,0.19011418521404266,0.08775003254413605,0.16086557507514954,0.3875947892665863,-1.2054827893192224e-27,0.43534383177757263,0.16025221347808838,0.07624288648366928
2023-02-01,9,0.03446820005774498,0.03250381723046303,0.0056444257497787476,0.34708642959594727,-1.0796163822539654e-28,0.3395223319530487,0.4396228790283203,0.40790489315986633
2023-02-02,12,0.10258381068706512,0.25333061814308167,0.08868672698736191,0.26203081011772156,1.6462558765201358e-24,0.050348784774541855,0.12007617205381393,0.25655311346054077
2023-02-03,12,0.10258381068706512,0.25333061814308167,0.08868672698736191,0.26203081011772156,1.6462558765201358e-24,0.050348784774541855,0.12007617205381393,0.25655311346054077
2023-02-06,26,0.0885787233710289,0.17539560794830322,0.023177336901426315,0.1534094214439392,3.408940376477151e-32,0.24340121448040009,0.18172414600849152,0.16032381355762482
2023-02-07,9,0.03446820005774498,0.03250381723046303,0.0056444257497787476,0.34708642959594727,-1.0796163822539654e-28,0.3395223319530487,0.4396228790283203,0.40790489315986633
2023-02-08,25,0.021593764424324036,0.18935005366802216,0.005869586952030659,0.0947725921869278,-9.261945399163935e-28,0.0349617674946785,0.40118277072906494,0.5699447393417358
2023-02-09,25,0.021593764424324036,0.18935006856918335,0.005869586952030659,0.0947725921869278,-9.261945399163935e-28,0.0349617674946785,0.40118277072906494,0.5699447393417358
2023-02-10,9,0.03446820005774498,0.03250381723046303,0.0056444257497787476,0.34708645939826965,-1.0796163822539654e-28,0.3395223319530487,0.4396228790283203,0.40790489315986633
2023-02-13,18,0.2470991164445877,0.2851050794124603,0.2195073366165161,0.2152285873889923,1.0212985314068461e-29,0.22692079842090607,0.02694600634276867,0.06584757566452026
2023-02-14,9,0.03446820005774498,0.03250381723046303,0.0056444257497787476,0.34708645939826965,-1.0796163822539654e-28,0.3395223319530487,0.4396228790283203,0.40790489315986633
2023-02-15,7,0.19011418521404266,0.08775003254413605,0.16086558997631073,0.3875947892665863,-1.2054827893192224e-27,0.43534383177757263,0.16025221347808838,0.07624288648366928
2023-02-16,18,0.2470991164445877,0.2851050794124603,0.2195073366165161,0.2152285873889923,1.0212985314068461e-29,0.22692079842090607,0.02694600634276867,0.06584757566452026
2023-02-17,9,0.03446820005774498,0.03250381723046303,0.0056444257497787476,0.34708645939826965,-1.0796163822539654e-28,0.3395223319530487,0.4396228790283203,0.40790489315986633
2023-02-21,25,0.021593764424324036,0.18935005366802216,0.005869586952030659,0.0947725921869278,-9.261945399163935e-28,0.0349617674946785,0.40118277072906494,0.5699447393417358
2023-02-22,12,0.10258381068706512,0.25333061814308167,0.08868672698736191,0.26203081011772156,1.6462558765201358e-24,0.050348784774541855,0.12007617205381393,0.25655311346054077
2023-02-23,9,0.03446820005774498,0.03250381723046303,0.0056444257497787476,0.34708645939826965,-1.0796163822539654e-28,0.3395223319530487,0.4396228790283203,0.40790489315986633
2023-02-24,9,0.03446820005774498,0.03250381723046303,0.0056444257497787476,0.34708645939826965,-1.0796163822539654e-28,0.3395223319530487,0.4396228790283203,0.40790489315986633
2023-02-27,25,0.021593764424324036,0.18935005366802216,0.005869586952030659,0.0947725921869278,-9.261945399163935e-28,0.0349617674946785,0.40118277072906494,0.5699447393417358
2023-02-28,12,0.10258381068706512,0.25333061814308167,0.08868672698736191,0.26203081011772156,1.6462558765201358e-24,0.050348784774541855,0.12007616460323334,0.25655311346054077
2023-03-01,12,0.10258381068706512,0.25333061814308167,0.08868672698736191,0.26203081011772156,1.6462558765201358e-24,0.050348784774541855,0.12007617205381393,0.25655311346054077
2023-03-02,9,0.03446820005774498,0.03250381723046303,0.0056444257497787476,0.34708648920059204,-1.0796163822539654e-28,0.3395223319530487,0.4396228790283203,0.40790489315986633
2023-03-03,7,0.19011418521404266,0.08775003254413605,0.16086558997631073,0.3875947892665863,-1.2054827893192224e-27,0.43534383177757263,0.16025221347808838,0.07624288648366928
